store,app_id,name,developer,rating,ratings_count,installs,price,free,contains_ads,in_app_purchases,iap_range,prices_mentioned,plan_keywords,mentions_subscription,mentions_trial,mentions_lifetime,url
play,com.missingapps.quitvaping,Quit Vaping - Quit the Vape,missingapps,,,"5,000+",0.0,True,True,True,"₹310.00 - ₹2,350.00 per item",,pro; subscription,True,False,False,https://play.google.com/store/apps/details?id=com.missingapps.quitvaping&hl=en&gl=in
play,com.glennfrancis.vapestop,VapeStop: Quit Vaping,Glenn Francis,,,50+,0.0,True,False,True,₹550.00 per item,,pro,False,False,False,https://play.google.com/store/apps/details?id=com.glennfrancis.vapestop&hl=en&gl=in
play,com.thoumarapps.vapeaway,VapeAway — Quit Vaping Today,Thoumar Apps,,,"5,000+",0.0,True,True,True,₹350.00 per item,,pro,False,False,False,https://play.google.com/store/apps/details?id=com.thoumarapps.vapeaway&hl=en&gl=in
play,com.wordloco.vaping,Stop Vaping: Quit Tracker App,Wordloco,,,10+,0.0,True,True,True,₹220.00 - ₹650.00 per item,,pro,False,False,False,https://play.google.com/store/apps/details?id=com.wordloco.vaping&hl=en&gl=in
play,app.freelife,Quit: stop smoking and vaping,GEO TRACK TECHNOLOGIES INC,0.0,0.0,"10,000+",0.0,True,False,True,"₹2,200.00 - ₹4,500.00 per item",,pro,False,False,False,https://play.google.com/store/apps/details?id=app.freelife&hl=en&gl=in
play,com.ifeanyi.grounded,Quit Weed Smoking - Grounded,Actualized Apps,4.382353,2512.0,"100,000+",0.0,True,False,True,"₹350.00 - ₹2,900.00 per item",,pro,False,False,False,https://play.google.com/store/apps/details?id=com.ifeanyi.grounded&hl=en&gl=in
play,com.havabee.nosmoke,No Smoke: Quit Smoking Today,Havabee,5.0,15.0,100+,0.0,True,False,False,,,pro,False,False,False,https://play.google.com/store/apps/details?id=com.havabee.nosmoke&hl=en&gl=in
play,com.pouchquit.app,Pouch Quit: Quit Nicotine,Nordic Social Media,,,100+,0.0,True,False,True,"₹420.00 - ₹6,300.00 per item",,pro,False,False,False,https://play.google.com/store/apps/details?id=com.pouchquit.app&hl=en&gl=in
play,com.nusrApp.nusrApp.Sigarametre,Cigarette Counter and Tracker,Cattus,4.53,2194.0,"100,000+",0.0,True,True,True,₹55.00 - ₹99.00 per item,,monthly; weekly,False,False,False,https://play.google.com/store/apps/details?id=com.nusrApp.nusrApp.Sigarametre&hl=en&gl=in
play,com.quit_smoking_tracker.smoke_free,Stop Cigarette Smoking Tracker,Frostrabbit LLC,,,100+,0.0,True,False,True,"₹650.00 - ₹8,300.00 per item",,monthly; pro; weekly,False,False,False,https://play.google.com/store/apps/details?id=com.quit_smoking_tracker.smoke_free&hl=en&gl=in
